mack,nam,size,llp,nim,roe,car,lta,eta,gdp,inf,la
BID,2016,"9,0028","0,0141","0,0271","0,1475","0,095","0,7116","0,0439","0,067","0,0267","0,115"
BID,2017,"9,08","0,0223","0,03","0,134","0,1009","0,7436","0,0406","0,069","0,0352","0,1379"
BID,2018,"9,1183","0,015","0,0298","0,1344","0,1034","0,7399","0,0415","0,072","0,0354","0,1261"
BID,2019,"9,1732","0,0113","0,0285","0,1141","0,0874","0,7881","0,0521","0,072","0,028","0,141"
BID,2020,"9,1809","0,0159","0,0263","0,1087","0,0861","0,4421","0,0525","0,029","0,0322","0,1038"
BID,2021,"9,2459","0,022","0,0305","0,087","0,0897","0,7524","0,049","0,026","0,0183","0,127"
BVB,2011,"7,2296","0,0108","0,0372","0,021","0,344","0,3729","0,1945","0,064","0,1868","0,2935"
BVB,2012,"7,3153","0,0095","0,0287","0,0822","0,2748","0,4297","0,1581","0,055","0,0909","0,3921"
BVB,2013,"7,3628","0,0125","0,0251","0,0636","0,201","0,4984","0,1396","0,056","0,0659","0,3079"
BVB,2014,"7,4113","0,0109","0,0244","0,0316","0,132","0,5424","0,1285","0,064","0,0408","0,1761"
BVB,2015,"7,4627","0,0078","0,0176","0,0489","0,157","0,6427","0,1142","0,07","0,0063","0,162"
BVB,2016,"7,5103","0,0087","0,0194","0,0161","0,132","0,6212","0,1022","0,067","0,0267","0,1014"
BVB,2017,"7,601","0,01","0,0203","0,0008","0,1106","0,6305","0,0838","0,069","0,0352","0,1558"
BVB,2018,"7,6679","0,0116","0,0205","0,0099","0,1076","0,6474","0,0739","0,072","0,0354","0,1659"
BVB,2019,"7,7144","0,0135","0,021","0,0263","0,0854","0,6426","0,0721","0,072","0,028","0,2038"
BVB,2020,"7,7861","0,0146","0,0218","0,0331","0,0927","0,6294","0,0637","0,029","0,0322","0,2161"
BVB,2021,"7,8837","0,0153","0,0231","0,0377","0,1086","0,5971","0,0606","0,026","0,0183","0,2355"
CTG,2011,"8,6633","0,0105","0,0519","0,1451","0,1057","0,6547","0,0623","0,064","0,1868","0,1777"
CTG,2012,"8,702","0,0111","0,0414","0,2002","0,1033","0,6471","0,0672","0,055","0,0909","0,1446"
CTG,2013,"8,7607","0,0088","0,0367","0,14","0,1317","0,6587","0,0942","0,056","0,0659","0,1508"
CTG,2014,"8,8203","0,01","0,0307","0,1061","0,104","0,6845","0,0836","0,064","0,0408","0,1416"
CTG,2015,"8,8918","0,0085","0,0281","0,1029","0,106","0,6906","0,072","0,07","0,0063","0,1108"
CTG,2016,"8,9771","0,0105","0,0276","0,0982","0,104","0,7145","0,0635","0,067","0,0267","0,1214"
CTG,2017,"9,0394","0,0106","0,0283","0,1091","0,104","0,7316","0,0582","0,069","0,0352","0,1263"
CTG,2018,"9,0661","0,0153","0,0213","0,1137","0,1","0,7434","0,0579","0,072","0,0354","0,141"
CTG,2019,"9,0937","0,014","0,0294","0,0748","0,0925","0,7475","0,0623","0,072","0,028","0,1345"
CTG,2020,"9,1276","0,0125","0,0297","0,1164","0,0941","0,4707","0,0637","0,029","0,0322","0,1311"
CTG,2021,"9,1851","0,0233","0,0008","0,1537","0,0914","0,7214","0,0611","0,026","0,0183","0,1227"
EIB,2011,"8,2638","0,0084","0,0377","0,1217","0,1294","0,4368","0,0888","0,064","0,1868","0,4031"
EIB,2012,"8,2308","0,0082","0,0314","0,1893","0,1638","0,4866","0,0929","0,055","0,0909","0,429"
EIB,2013,"8,23","0,0086","0,0181","0,1403","0,1447","0,5346","0,0864","0,056","0,0659","0,3628"
EIB,2014,"8,2071","0,0119","0,0178","0,0458","0,1362","0,6719","0,0873","0,064","0,0408","0,2753"
EIB,2015,"8,0964","0,0104","0,0261","0,0041","0,1652","0,6663","0,1053","0,07","0,0063","0,1011"
EIB,2016,"8,1099","0,0124","0,0269","0,003","0,1712","0,6713","0,1044","0,067","0,0267","0,1093"
EIB,2017,"8,1743","0,0105","0,0211","0,0223","0,1598","0,6745","0,0954","0,069","0,0352","0,1395"
EIB,2018,"8,1837","0,0104","0,0234","0,0565","0,1505","0,6696","0,0975","0,072","0,0354","0,1822"
EIB,2019,"8,2241","0,0096","0,0222","0,0431","0,1381","0,6201","0,094","0,072","0,028","0,2055"
EIB,2020,"8,2053","0,0129","0,022","0,0532","0,1181","0,3386","0,1048","0,029","0,0322","0,2394"
EIB,2021,"8,2197","0,0121","0,0233","0,0619","0,1229","0,6833","0,1072","0,026","0,0183","0,1842"
HDB,2011,"7,6535","0,0103","0,0425","0,0912","0,15","0,397","0,0788","0,064","0,1868","0,2624"
HDB,2012,"7,7225","0,0093","0,023","0,0954","0,1401","0,5025","0,1022","0,055","0,0909","0,1723"
HDB,2013,"7,9356","0,0161","0,0057","0,0467","0,122","0,4171","0,0996","0,056","0,0659","0,1651"
HDB,2014,"7,9979","0,0117","0,0213","0,0245","0,107","0,5245","0,0924","0,064","0,0408","0,211"
HDB,2015,"8,0273","0,0126","0,0372","0,0501","0,1304","0,541","0,0924","0,07","0,0063","0,1609"
HDB,2016,"8,1769","0,0113","0,0415","0,0637","0,1253","0,5458","0,0662","0,067","0,0267","0,153"
HDB,2017,"8,2772","0,0112","0,041","0,074","0,135","0,5637","0,078","0,069","0,0352","0,1584"
HDB,2018,"8,3346","0,011","0,0407","0,1237","0,121","0,6306","0,0779","0,072","0,0354","0,1977"
HDB,2019,"8,3607","0,0112","0,0475","0,1721","0,112","0,5527","0,0888","0,072","0,028","0,1561"
HDB,2020,"8,504","0,011","0,0474","0,1783","0,121","0,5523","0,0774","0,029","0,0322","0,211"
HDB,2021,"8,5736","0,0122","0,0444","0,1675","0,135","0,5359","0,0822","0,026","0,0183","0,2174"
KLB,2011,"7,2516","0,0114","0,0665","0,0586","0,3231","0,5135","0,1936","0,064","0,1868","0,2906"
KLB,2012,"7,2691","0,0149","0,0352","0,1144","0,3342","0,5616","0,1854","0,055","0,0909","1,9871"
KLB,2013,"7,3298","0,0104","0,0215","0,1014","0,2074","0,5796","0,1626","0,056","0,0659","1,9019"
KLB,2014,"7,3637","0,0102","0,0156","0,0916","0,1838","0,635","0,1456","0,064","0,0408","1,569"
KLB,2015,"7,4035","0,0086","0,0227","0,0522","0,1977","0,6435","0,1332","0,07","0,0063","0,1067"
KLB,2016,"7,4836","0,0087","0,0335","0,0491","0,1635","0,6554","0,1105","0,067","0,0267","0,1409"
KLB,2017,"7,572","0,009","0,0369","0,035","0,1758","0,6905","0,0951","0,069","0,0352","0,1835"
KLB,2018,"7,6264","0,0087","0,0291","0,0552","0,1662","0,6494","0,0886","0,072","0,0354","0,1837"
